cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
1300706,BOCA DO ACRE,63.2,1.4,21938.582
1300805,BORBA,41.3,0.79,44236.184
1300839,CAAPIRANGA,46.8,1.16,9455.539
1300904,CANUTAMA,52.5,0.43,33642.73
1301001,CARAUARI,76.6,1,25778.658
1301100,CAREIRO,28.8,5.37,6096.212
1301159,CAREIRO DA VÁRZEA,4.2,9.09,2627.474
1301209,COARI,65.4,1.31,57970.77
1301308,CODAJÁS,68.1,1.24,18700.713
1301407,EIRUNEPÉ,72.3,2.04,14966.242
1301506,ENVIRA,64.6,2.18,7505.794
1301605,FONTE BOA,66.2,1.88,12155.427
1301654,GUAJARÁ,53.1,1.84,7583.534
1301704,HUMAITÁ,69,1.34,33111.145
1301803,IPIXUNA,42.7,1.85,12109.779
1301852,IRANDUBA,71.1,18.42,2216.817
1301902,ITACOATIARA,67,9.77,8891.906
1301951,ITAMARATI,55.6,0.32,25260.43
1302009,ITAPIRANGA,78.6,1.94,4335.075
1302108,JAPURÁ,45,0.13,55827.203
1302207,JURUÁ,52.6,0.56,19442.549
1302306,JUTAÍ,58.6,0.26,69457.414
1302405,LÁBREA,64.2,0.55,68262.68
1302504,MANACAPURU,70.7,11.62,7336.579
1302553,MANAQUIRI,31,5.73,3973.258
1302603,MANAUS,99.5,158.06,11401.092
1302702,MANICORÉ,43.3,0.97,48315.023
1302801,MARAÃ,49.9,1.04,16830.826
1302900,MAUÉS,49.5,1.31,39991.066
1303007,NHAMUNDÁ,38.4,1.3,14107.04
1100908,CASTANHEIRAS,23.38,4,892.841
1100924,CHUPINGUAIA,44.13,1.62,5126.723
1100940,CUJUBIM,69.65,4.1,3863.946
1101005,GOVERNADOR JORGE TEIXEIRA,22.46,2.07,5067.384
1101104,ITAPUÃ DO OESTE,60.96,2.1,4081.58
3134301,ITUMIRIM,76.62,26.15,234.802
3134400,ITURAMA,94.61,24.53,1404.663
2807204,SIRIRI,39.74,48.27,168.343
1101203,MINISTRO ANDREAZZA,29.69,12.97,798.083
1101302,MIRANTE DA SERRA,54.25,9.97,1191.875
1101401,MONTE NEGRO,52.44,7.3,1931.378
1101435,NOVA UNIÃO,20.57,9.28,807.125
1101450,PARECIS,36.88,1.89,2548.683
1101468,PIMENTEIRAS DO OESTE,55.81,0.38,6014.733
1303106,NOVA OLINDA DO NORTE,44.4,5.47,5578.132
1303205,NOVO AIRÃO,64.5,0.39,37776.77
1303304,NOVO ARIPUANÃ,65.6,0.52,41179.656
1303403,PARINTINS,68.5,17.14,5956.047
1303502,PAUINI,51,0.44,41624.664
1303536,PRESIDENTE FIGUEIREDO,47.8,1.07,25459.1
1303569,RIO PRETO DA EVA,47.5,4.42,5815.622
1101476,PRIMAVERA DE RONDÔNIA,36.44,5.82,605.692
3135050,JAÍBA,52.51,12.79,2635.467
1101484,SÃO FELIPE D'OESTE,23.99,11.11,541.647
1101492,SÃO FRANCISCO DO GUAPORÉ,51.31,1.46,10959.767
1101500,SERINGUEIRAS,37.81,3.08,3773.505
1303601,SANTA ISABEL DO RIO NEGRO,37.8,0.29,62800.08
1303700,SANTO ANTÔNIO DO IÇÁ,52.9,1.99,12366.143
1303809,SÃO GABRIEL DA CACHOEIRA,50.3,0.35,109181.24
1303908,SÃO PAULO DE OLIVENÇA,45.4,1.59,19658.502
1303957,SÃO SEBASTIÃO DO UATUMÃ,55.2,1,10647.463
2103901,DUQUE BACELAR,50.1,33.5,317.494
2104008,ESPERANTINÓPOLIS,54.4,38.37,452.411
2104057,ESTREITO,71.9,13.18,2720.266
2104073,FEIRA NOVA DO MARANHÃO,23.7,5.52,1625.822
2104081,FERNANDO FALCÃO,16.3,1.82,5086.589
2104099,FORMOSA DA SERRA NEGRA,33.3,4.49,3690.61
2104107,FORTALEZA DOS NOGUEIRAS,60.3,7,1853.406
2104206,FORTUNA,62.9,21.72,834.83
2104305,GODOFREDO VIANA,63.2,15.77,720.129
3135902,JESUÂNIA,64.89,30.99,153.852
2901106,AMÉLIA RODRIGUES,79.2,145.2,166.872
2901155,AMÉRICA DOURADA,67.9,19.02,822.373
1101708,URUPÁ,39.59,15.6,831.857
1101757,VALE DO ANARI,34.02,2.99,3135.106
1304005,SILVES,47.7,2.25,3723.382
1304062,TABATINGA,69.5,16.21,3266.062
1304104,TAPAUÁ,55.7,0.21,84946.03
1304203,TEFÉ,81.5,2.59,23692.223
1304237,TONANTINS,52.1,2.66,6446.894
1304260,UARINI,57.1,1.16,10274.677
1304302,URUCARÁ,57.8,0.61,27901.963
1304401,URUCURITUBA,58.6,6.14,2886.494
1400027,AMAJARI,13.07,0.33,28473.45
1400050,ALTO ALEGRE,29.06,0.64,25454.297
1400100,BOA VISTA,97.71,49.99,5687.037
1400159,BONFIM,33.91,1.35,8079.914
1400175,CANTÁ,16.24,1.81,7664.831
1400209,CARACARAÍ,59.3,0.39,47379.902
1400233,CAROEBE,40.97,0.67,12065.896
1400282,IRACEMA,46.9,0.6,14011.695
1400308,MUCAJAÍ,60.4,1.19,12337.851
1400407,NORMANDIA,25.85,1.28,6959.868
1400456,PACARAIMA,43.27,1.3,8025.045
1400472,RORAINÓPOLIS,43.96,0.72,33579.74
1400506,SÃO JOÃO DA BALIZA,70.25,1.58,4284.505
3136405,JOAQUIM FELÍCIO,58.68,5.44,790.935
3136504,JORDÂNIA,69.94,18.88,546.705
2902104,ARACI,38,33.19,1496.245
2405900,JOÃO DIAS,44.83,29.5,88.173
2914208,IRAJUBA,46.7,16.93,459.047
1400605,SÃO LUIZ,66,4.42,1526.898
1400704,UIRAMUTÃ,13.59,1.04,8113.598
1500107,ABAETETUBA,58.82,87.61,1610.654
1500131,ABEL FIGUEIREDO,89,11.04,614.131
1500206,ACARÁ,23.56,12.33,4344.384
1500305,AFUÁ,27.05,4.19,8338.438
1500347,ÁGUA AZUL DO NORTE,19.46,3.52,7113.955
1500404,ALENQUER,52.68,2.23,23645.451
