ano,vacina_id,cobertura,doses,regiao_cod_ibge
2013,11,100.39,1105825,3
2013,11,105.52,358708,4
2013,11,110.44,219844,5
2013,12,96.24,276771,1
2013,12,98.37,788053,2
2013,12,107.31,1113996,3
2013,12,110.04,379991,4
2013,12,118.12,235040,5
2013,13,88.21,249757,1
2013,13,96.72,769104,2
2013,13,105.72,1096866,3
2013,13,111.49,380583,4
2013,13,117.47,230064,5
2013,14,85.24,243644,1
2013,14,98.89,778097,2
2013,14,106.4,1100871,3
2013,14,108.2,366612,4
2013,14,115.8,223795,5
2013,15,104.02,302450,1
2013,15,102.98,855716,2
2013,15,110.6,1145634,3
2013,15,112.16,383656,4
2013,15,124.4,246822,5
2013,17,92.17,274325,1
2013,17,96.81,798382,2
2013,17,103.06,1078972,3
2013,17,97.2,329017,4
2013,17,113.45,226530,5
2013,18,85.61,260659,1
2013,18,95.11,768902,2
2013,18,104.67,1104548,3
2013,18,102.24,362019,4
2013,18,111.59,228685,5
2013,19,25.23,79678,1
2013,19,31.81,266075,2
2013,19,41.6,427513,3
2013,19,45.68,143808,4
2013,19,41.76,79213,5
2013,20,95.94,272473,1
2013,20,101.01,816558,2
2013,20,109.75,1143665,3
2013,20,112.85,387850,4
2013,20,120.86,237888,5
2013,21,89.79,260272,1
2013,21,98.29,795754,2
2013,21,97.48,1045241,3
2013,21,98.57,332784,4
2013,21,109.8,216212,5
2013,22,106.09,310180,1
2013,22,113.78,954107,2
2013,22,114.57,1206837,3
2013,22,115.64,405533,4
2013,22,125.14,254466,5
2013,23,47.51,145161,1
2013,23,70.13,548212,2
2013,23,81.9,871822,3
2013,23,85.26,284385,4
2013,23,76.76,156987,5
2014,1,83.07,351800,1
2014,1,79.03,879187,2
2014,1,97.12,1208125,3
2014,1,101.19,408044,4
2014,1,115.24,269140,5
2014,2,92.7,266991,1
2014,2,96.47,776964,2
2014,2,109.39,1118669,3
2014,2,105.38,374215,4
2014,2,117.4,236481,5
2014,3,11.21,15712,1
2014,3,15.21,86534,2
2014,3,13.46,120465,3
2014,3,10.26,24686,4
2014,3,15.26,24038,5
2014,4,3.08,16701,1
2014,4,3.03,46920,2
2014,4,2.55,31674,3
2014,4,4.03,17138,4
2014,4,3.42,12086,5
2014,5,37.73,126848,1
2014,5,48.84,430400,2
2014,5,45.33,467495,3
2014,5,35.12,132420,4
2014,5,51.84,106364,5
2014,6,82.81,246654,1
2014,6,31.01,320674,2
2014,6,49.03,341872,3
2014,6,81.85,217876,4
2014,6,107.44,229267,5
2014,7,41.97,111749,1
